Project 01,Project 02,SimilarityResult [0-1]
D:\Projetos\_Web\mes,D:\Projetos\_Web\phenotips,"0,34"
D:\Projetos\_Web\mes,D:\Projetos\_Web\zanata-platform,"0,43"
D:\Projetos\_Web\mes,D:\Projetos\_Web\geowe-core,"0,06"
D:\Projetos\_Web\mes,D:\Projetos\_Web\bigbluebutton,"0,11"
D:\Projetos\_Web\mes,D:\Projetos\_Web\libreplan,"0,45"
D:\Projetos\_Web\mes,D:\Projetos\_Web\openmpf,"0,78"
D:\Projetos\_Web\mes,D:\Projetos\_Web\jbpm-wb,"0,36"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\webprotege,"0,03"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\kafdrop,"0,71"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\webofneeds,"0,56"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\aet,"0,01"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\webanno,"0,15"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\kafka-webview,"0,83"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\ice,"0,27"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\bonita-web,"0,11"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\optaweb-vehicle-routing,"0,33"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\openmrs-core,"0,27"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\heritrix3,"0,00"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\metl,"0,15"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\mes,"0,42"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\bamboobsc,"1,00"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\web-budget,"0,04"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\phenotips,"0,60"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\zanata-platform,"0,27"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\geowe-core,"0,04"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\bigbluebutton,"0,09"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\libreplan,"0,21"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\openmpf,"0,76"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\jbpm-wb,"0,15"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\webprotege,"0,13"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\kafdrop,"0,00"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\webofneeds,"0,11"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\aet,"0,02"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\webanno,"0,03"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\kafka-webview,"0,00"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\ice,"0,13"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\bonita-web,"0,02"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\optaweb-vehicle-routing,"0,02"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\openmrs-core,"0,03"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\heritrix3,"0,01"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\metl,"0,08"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\mes,"0,00"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\bamboobsc,"0,04"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\web-budget,"0,95"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\phenotips,"0,04"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\zanata-platform,"0,19"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\geowe-core,"0,03"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\bigbluebutton,"0,07"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\libreplan,"0,04"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\openmpf,"0,02"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\jbpm-wb,"0,05"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\webprotege,"0,05"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\kafdrop,"0,49"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\webofneeds,"0,47"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\aet,"0,14"
