Class,Method,Smell,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.libreplan.web.templates.historicalAssignment.OrderElementHistoricalAssignmentComponent,view,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.workreports.WorkReportCRUDController,appendColumns,Metodo Longo,"[A, R, D, V, X]",,,,
org.libreplan.web.workreports.WorkReportQueryController,createWRLPredicates,Muitos Desvios,[D],4f0686565daef03b8e02f988f918feb69abb0647,MOVE_OPERATION,"private createWRLPredicates(type String, resource Resource, startDate Date, finishDate Date, orderElement OrderElement, hoursType TypeOfWorkHours) : Collection<? extends WorkReportLinePredicate>","private createWRLPredicates(type String, resource Resource, startDate Date, finishDate Date, orderElement OrderElement, hoursType TypeOfWorkHours) : Collection<? extends WorkReportLinePredicate>"
org.libreplan.web.orders.labels.AssignedLabelsController,onCreateAndAssign,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.reports.OrderCostsPerResourceModel,getOrderReport,Muitos Parametros,"[A, R, D, V, X]",4da11d0f1973f8ac180bfa89e00db81cf6708080,EXTRACT_OPERATION,"public getOrderReport(orders List<Order>, startingDate Date, endingDate Date, labels List<Label>, criterions List<Criterion>) : JRDataSource",private createEmptyWorkReportLineList(order Order) : List<OrderCostsPerResourceDTO>
org.libreplan.web.users.dashboard.PersonalTimesheetRow,appendInputsForDays,Metodo Longo,[V],,,,
org.libreplan.ws.workreports.impl.WorkReportConverter,toDTO,Alto Acoplamento Efferent,"[A, V]",,,,
org.libreplan.web.tree.TreeController,focusGoUp,Muitos Desvios,[D],,,,
org.libreplan.business.planner.entities.ResourceAllocation,withoutAlreadyPresent,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.planner.order.OrderPlanningController,showResorceAllocationIfIsNeeded,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.orders.OrderElementTreeModelTest,cleanCriteria,Muitos Desvios,[D],,,,
org.libreplan.web.test.ws.orders.OrderElementServiceTest,orderWithInvalidMaterialAssignment,Alto Acoplamento Efferent,"[A, D, V, X]",,,,
org.libreplan.web.montecarlo.MonteCarloController,doAfterCompose,Metodo Longo,"[A, R, D, V, X]",,,,
org.libreplan.business.orders.entities.HoursGroupHandler,recalculateHoursGroups,Metodo Longo,[V],,,,
org.libreplan.web.orders.OrderElementTreeController,writeFilterParameters,Alto Acoplamento Efferent,[D],,,,
org.libreplan.importers.OrderImporterMPXJ,convertImportDataToOrder,Alto Acoplamento Efferent,"[A, R, D, V, X]",,,,
org.libreplan.web.planner.taskedition.EditTaskController,showTabPanel,Alto Acoplamento Efferent,[D],,,,
org.zkoss.ganttz.LeftTasksTreeRow,create,Muitos Parametros,"[A, D, V, X]",,,,
org.libreplan.ws.workreports.impl.WorkReportConverter,updateWorkReport,Metodo Longo,"[A, R, D, V, X]",,,,
org.libreplan.ws.common.impl.OrderElementConverter,toEntityExceptCriterionRequirements,Alto Acoplamento Efferent,"[A, R, D, V, X]",,,,
org.zkoss.ganttz.data.criticalpath.CriticalPathCalculatorTest,givenTwoTasksWithSubtasksRelatedWithStartStart,Muitos Parametros,"[A, D, V, X]",,,,
