Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,PROCESSOR,org.archive.modules.writer.ARCWriterProcessor,replace,5,1,3,3,Muitos Parametros
 V ,UNDEFINED,org.archive.net.PublicSuffixes,compareTo,9,9,4,1,Muitos Desvios
 V ,[ARCHIVEFILECONSTANTS],org.archive.io.WriterPoolMember,copyFrom,14,4,6,3,Muitos Parametros
 V ,RESOURCE,org.archive.crawler.restlet.ScriptResource,makePresentableMap,25,6,4,0,Metodo Longo
 V ,PROCESSOR,org.archive.modules.fetcher.FetchDNS,isQuadAddress,20,5,10,3,Muitos Desvios
" A, V, X ",RESOURCE,org.archive.crawler.restlet.BeanBrowseResource,writeHtml,64,11,14,1,Alto Acoplamento Efferent
" A, V, X ",URI,org.archive.net.UURIFactory,fixupAuthority,29,10,2,2,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.fetcher.FetchDNS,innerProcess,64,15,11,1,Alto Acoplamento Efferent
" A, D, V, X ",PERSISTENCE,org.archive.io.arc.ARCRecord,readHttpHeader,66,15,16,0,Metodo Longo
" A, R, D, V, X ",UNDEFINED,org.archive.crawler.Heritrix,instanceMain,145,27,31,1,Alto Acoplamento Efferent
" A, R, V, X ",ASYNCTASK,org.archive.crawler.framework.ActionDirectory,tryAsScript,54,10,16,2,Alto Acoplamento Efferent
 V ,DECIDERULE,org.archive.modules.deciderules.TooManyPathSegmentsDecideRule,evaluate,17,5,4,1,Muitos Desvios
 V ,[X509TRUSTMANAGER],org.archive.httpclient.ConfigurableX509TrustManager,checkServerTrusted,20,7,6,2,Muitos Desvios
 V ,TEST,org.archive.io.arc.ARCWriterTest,lengthTooShort,31,1,12,3,Metodo Longo
" A, V, X ",[IOFILEFILTER],org.archive.util.FileUtils,pagedLines,100,31,13,5,Muitos Parametros
" A, R, D, V, X ",ENTITY,org.archive.bdb.BdbModule,doRecover,57,15,16,0,Alto Acoplamento Efferent
 V ,ABSTRACTFRONTIER,org.archive.crawler.frontier.WorkQueueFrontier,wakeQueues,23,4,7,0,Metodo Longo
 V ,RESOURCE,org.archive.crawler.restlet.ScriptResource,acceptRepresentation,40,4,11,1,Metodo Longo
