Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.weasis.dicom.explorer.ExplorerTask,isInterruptible,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.docking.PluginTool,getComponentName,null,3,1,2,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.viewer2d.KeyObjectToolBar,setSelectionInterval,null,16,4,1,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.util.FileUtil,getExtension,null,10,3,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.imageio.codec.ImageElementIO,getTagValue,null,7,3,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.pref.ZoomSetting,applyPreferences,null,6,2,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.util.ForcedAcceptPrintService,isAttributeCategorySupported,null,3,1,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.service.WProperties,isValid,null,3,1,3,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.MouseActionAdapter,getMouseSensivity,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.FileFormatFilter,addExtension,null,7,2,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.MouseActionAdapter,setMouseSensivity,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.utils.algo.ConvexHull,grahamScan,null,18,3,5,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.media.data.TagUtil,getTagValue,null,11,4,3,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.DicomImageElement,getDefaultLevel,null,4,2,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.viewer2d.mpr.RawImageIO,writeMetaData,null,11,3,5,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.util.RotatedIcon,getIcon,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.openjpeg.cpp.openjpeg,opj_set_decoded_resolution_factor,null,0,1,3,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.editor.ViewerPluginBuilder,openSequenceInDefaultPlugin,null,7,2,4,3,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.sr.SRContainer,getViewTypeNumber,null,3,1,3,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.explorer.DicomExplorer,isPatientVisible,null,10,4,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
