Commmit-name,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class After,Class Before,Short Message,Full Message
0ad7c0668a3da32d02c61e98715479b315a18a6e,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.mail.MessageConverter],[com.zegoggles.smssync.mail.MessageConverter]
1dc96103538d3c5836d223820deb31ed1f11d523,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.mail.MessageGenerator],[com.zegoggles.smssync.mail.MessageGenerator]
1dc96103538d3c5836d223820deb31ed1f11d523,Rename Attribute,RENAME_ATTRIBUTE,[com.zegoggles.smssync.mail.MessageGenerator],[com.zegoggles.smssync.mail.MessageGenerator]
1dc96103538d3c5836d223820deb31ed1f11d523,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,[com.zegoggles.smssync.mail.MessageGenerator],[com.zegoggles.smssync.mail.MessageGenerator]
1dc96103538d3c5836d223820deb31ed1f11d523,Rename Variable,RENAME_VARIABLE,[com.zegoggles.smssync.mail.MmsSupport],[com.zegoggles.smssync.mail.MmsSupport]
1dc96103538d3c5836d223820deb31ed1f11d523,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,[com.zegoggles.smssync.mail.MmsSupport.MmsDetails],[com.zegoggles.smssync.mail.MmsSupport.MmsDetails]
1dc96103538d3c5836d223820deb31ed1f11d523,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,[com.zegoggles.smssync.mail.MmsSupport.MmsDetails],[com.zegoggles.smssync.mail.MmsSupport.MmsDetails]
1dc96103538d3c5836d223820deb31ed1f11d523,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.mail.MessageGeneratorTest],[com.zegoggles.smssync.mail.MessageGeneratorTest]
1dc96103538d3c5836d223820deb31ed1f11d523,Rename Variable,RENAME_VARIABLE,[com.zegoggles.smssync.mail.MessageGeneratorTest],[com.zegoggles.smssync.mail.MessageGeneratorTest]
e47ec1e0da383e683d332da908179925e5278833,Rename Class,RENAME_CLASS,[com.zegoggles.smssync.contacts.ContactGroupIds],[com.zegoggles.smssync.contacts.GroupContactIds]
e47ec1e0da383e683d332da908179925e5278833,Rename Class,RENAME_CLASS,[com.zegoggles.smssync.contacts.ContactGroupdsTest],[com.zegoggles.smssync.contacts.GroupContactIdsTest]
e47ec1e0da383e683d332da908179925e5278833,Change Return Type,CHANGE_RETURN_TYPE,[com.zegoggles.smssync.contacts.ContactAccessor],[com.zegoggles.smssync.contacts.ContactAccessor]
e47ec1e0da383e683d332da908179925e5278833,Change Return Type,CHANGE_RETURN_TYPE,[com.zegoggles.smssync.contacts.ContactAccessorPost20],[com.zegoggles.smssync.contacts.ContactAccessorPost20]
e47ec1e0da383e683d332da908179925e5278833,Change Variable Type,CHANGE_VARIABLE_TYPE,[com.zegoggles.smssync.contacts.ContactAccessorPost20],[com.zegoggles.smssync.contacts.ContactAccessorPost20]
e47ec1e0da383e683d332da908179925e5278833,Change Return Type,CHANGE_RETURN_TYPE,[com.zegoggles.smssync.contacts.ContactAccessorPre20],[com.zegoggles.smssync.contacts.ContactAccessorPre20]
e47ec1e0da383e683d332da908179925e5278833,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.mail.MessageGenerator],[com.zegoggles.smssync.mail.MessageGenerator]
e47ec1e0da383e683d332da908179925e5278833,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.mail.MessageGenerator],[com.zegoggles.smssync.mail.MessageGenerator]
e47ec1e0da383e683d332da908179925e5278833,Rename Attribute,RENAME_ATTRIBUTE,[com.zegoggles.smssync.mail.MessageGenerator],[com.zegoggles.smssync.mail.MessageGenerator]
e47ec1e0da383e683d332da908179925e5278833,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,[com.zegoggles.smssync.mail.MessageGenerator],[com.zegoggles.smssync.mail.MessageGenerator]
e47ec1e0da383e683d332da908179925e5278833,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.service.BackupItemsFetcher],[com.zegoggles.smssync.service.BackupItemsFetcher]
e47ec1e0da383e683d332da908179925e5278833,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.service.BackupQueryBuilder],[com.zegoggles.smssync.service.BackupQueryBuilder]
e47ec1e0da383e683d332da908179925e5278833,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.service.BackupQueryBuilder],[com.zegoggles.smssync.service.BackupQueryBuilder]
e47ec1e0da383e683d332da908179925e5278833,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.service.BackupQueryBuilder],[com.zegoggles.smssync.service.BackupQueryBuilder]
